,Unnamed: 0,Unnamed: 0.1,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural,full_address,DPA_POST_TOWN,DPA_STATUS,DPA_MATCH_DESCRIPTION,DPA_THOROUGHFARE_NAME,DPA_Y_COORDINATE,DPA_UPRN,DPA_RPC,DPA_POSTCODE,DPA_ADDRESS,DPA_X_COORDINATE,DPA_ORGANISATION_NAME,DPA_MATCH,DPA_BUILDING_NAME,DPA_lat,DPA_lng,DPA_BUILDING_NUMBER,DPA_DEPENDENT_THOROUGHFARE_NAME,DPA_SUB_BUILDING_NAME
10,125389,125389,,125B,Rye Lane,,Ali baba juice & matcha,Retailers - other,4613,10,,714782,15,,51.469866,183775,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,17/10/2014,fhrs_2_en-GB,2,,FHRS,10,"Ali baba juice & matcha, 125B, Rye Lane, SE15 4ST",LONDON,APPROVED,PARTIAL,RYE LANE,176357,2.00003E+11,1,SE15 4ST,"MIGHTY POUND, 117-125, RYE LANE, LONDON, SE15 4ST",534257,MIGHTY POUND,0.7,117-125,-0.068440133,51.47025921,,,
11,125393,125393,,115,Rye Lane,London,Ali's greengrocery,Retailers - other,4613,10,,362618,5,,51.469866,103495,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,14/04/2014,fhrs_3_en-GB,3,,FHRS,10,"Ali's greengrocery, 115 Rye Lane, London, SE15 4ST",LONDON,APPROVED,GOOD,RYE LANE,176386,2.00003E+11,1,SE15 4ST,"ALIS GREENGROCERS, 115, RYE LANE, LONDON, SE15 4ST",534258,ALIS GREENGROCERS,0.8,,-0.068414738,51.47051958,115,,
12,125401,125401,,24,Peckham Rye,London,Alpha off licence,Retailers - other,4613,10,,364777,5,,51.465565,50839,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066722,SE15 4JR,29/02/2012,fhrs_4_en-GB,4,,FHRS,0,"Alpha off licence, 24 Peckham Rye, London, SE15 4JR",LONDON,APPROVED,GOOD,PECKHAM RYE,175881,2.00003E+11,1,SE15 4JR,"ALPHA OFF LICENSE, 24, PECKHAM RYE, LONDON, SE15 4JR",534384,ALPHA OFF LICENSE,0.9,,-0.066793598,51.46595157,24,,
13,125411,125411,Baptist Church,,Amott Road,London,Amott road pre-school (day nursery kitchen),Hospitals/Childcare/Caring Premises,5,0,,363072,0,,51.463914,1456,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070247,SE15 4HU,11/12/2009,fhrs_5_en-GB,5,,FHRS,5,"Amott road pre-school (day nursery kitchen), Baptist Church, Amott Road, London, SE15 4HU",LONDON,APPROVED,GOOD,AMOTT ROAD,175598,2.00003E+11,1,SE15 4HU,"AMOTT ROAD BAPTIST CHURCH, AMOTT ROAD, LONDON, SE15 4HU",534047,AMOTT ROAD BAPTIST CHURCH,0.8,,-0.071749317,51.46348826,,,
14,125419,125419,,139,Bellenden Road,London,Anderson & co,Restaurant/Cafe/Canteen,1,0,,363648,0,,51.466882,175816,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072468,SE15 4DH,28/08/2012,fhrs_5_en-GB,5,,FHRS,5,"Anderson & co, 139 Bellenden Road, London, SE15 4DH",LONDON,APPROVED,EXACT,BELLENDEN ROAD,176002,2.00003E+11,1,SE15 4DH,"ANDERSON & CO, 139, BELLENDEN ROAD, LONDON, SE15 4DH",533996,ANDERSON & CO,1,,-0.072330031,51.46713084,139,,
15,125437,125437,,78,Rye Lane,London,Ar cash & carry,Retailers - other,4613,0,,364001,0,,51.470033,1862,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068865,SE15 4RY,14/04/2014,fhrs_4_en-GB,4,,FHRS,10,"Ar cash & carry, 78 Rye Lane, London, SE15 4RY",LONDON,APPROVED,GOOD,RYE HILL PARK,175226,2.00003E+11,1,SE15 3JU,"78, RYE HILL PARK, LONDON, SE15 3JU",535148,,0.8,,-0.056051962,51.45988375,78,,
16,125444,125444,,125,Evelina Road,London,Arati newsagents,Retailers - other,4613,5,,364677,0,,51.466101,42017,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,29/02/2012,fhrs_5_en-GB,5,,FHRS,5,"Arati newsagents, 125 Evelina Road, London, SE15 3HB",LONDON,APPROVED,GOOD,EVELINA ROAD,175915,2.00003E+11,1,SE15 3HB,"ARATI NEWS, 125, EVELINA ROAD, LONDON, SE15 3HB",535085,ARATI NEWS,0.8,,-0.056695217,51.46609037,125,,
17,125446,125446,,54-56,Rye Lane,London,Argos distributors ltd,Retailers - other,4613,,,421365,,,51.471164,22042,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069782,SE15 5BY,06/03/2006,fhrs_exempt_en-GB,Exempt,,FHRS,,"Argos distributors ltd, 54-56 Rye Lane, London, SE15 5BY",LONDON,APPROVED,GOOD,RYE LANE,176415,2.00003E+11,1,SE15 5BY,"ARGOS LTD, 54, RYE LANE, LONDON, SE15 5BY",534154,ARGOS LTD,0.9,,-0.069900163,51.47080483,54,,
18,125457,125457,,161,Bellenden Road,London,Artusi,Restaurant/Cafe/Canteen,1,0,,654185,5,,51.466882,183638,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072468,SE15 4DH,28/03/2014,fhrs_5_en-GB,5,,FHRS,5,"Artusi, 161 Bellenden Road, London, SE15 4DH",LONDON,APPROVED,GOOD,BELLENDEN ROAD,175944,2.00003E+11,1,SE15 4DH,"ARTUS, 161, BELLENDEN ROAD, LONDON, SE15 4DH",533975,ARTUS,0.8,,-0.072654135,51.4666146,161,,
19,125459,125459,,174,Rye Lane,London,Asda supermarket,Retailers - supermarkets/hypermarkets,7840,5,,363899,5,,51.467853,178564,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.067518,SE15 4NB,15/11/2011,fhrs_5_en-GB,5,,FHRS,0,"Asda supermarket, 174 Rye Lane, London, SE15 4NB",LONDON,APPROVED,GOOD,RYE LANE,176062,2.00003E+11,2,SE15 4NF,"ASDA STORES LTD, 174, RYE LANE, LONDON, SE15 4NF",534352,ASDA STORES LTD,0.8,,-0.067185256,51.4675857,174,,
20,125462,125462,Forecourt After,125,Rye Lane,London,Asian take away,Other catering premises,7841,20,,467678,10,,51.469866,180437,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,30/06/2014,fhrs_1_en-GB,1,,FHRS,10,"Asian take away, Forecourt After, 125 Rye Lane, London, SE15 4ST",LONDON,APPROVED,PARTIAL,RYE LANE,176344,10000812933,2,SE15 4ST,"RYE LANE CHINESE, 125, RYE LANE, LONDON, SE15 4ST",534265,RYE LANE CHINESE,0.7,,-0.068329959,51.47014049,125,,
21,125467,125467,,98,Evelina Road,London,Astar fish bar,Takeaway/sandwich shop,7844,0,,364673,0,,51.466607,41997,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056326,SE15 3HL,11/10/2012,fhrs_5_en-GB,5,,FHRS,5,"Astar fish bar, 98 Evelina Road, London, SE15 3HL",LONDON,APPROVED,GOOD,EVELINA ROAD,175969,2.00003E+11,1,SE15 3HL,"A* FISH BAR, 98, EVELINA ROAD, LONDON, SE15 3HL",535106,A* FISH BAR,0.8,,-0.056372465,51.46657062,98,,
22,125473,125473,Units 37 And 38 Rye Lane Mark,48,Rye Lane,London,Auntie sue variety store,Retailers - other,4613,10,,449234,5,,51.471164,179436,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069782,SE15 5BY,05/11/2014,fhrs_3_en-GB,3,,FHRS,10,"Auntie sue variety store, Units 37 And 38 Rye Lane Mark, 48 Rye Lane, London, SE15 5BY",LONDON,APPROVED,GOOD,RYE LANE,176465,10000819121,2,SE15 5BY,"SKY ASSOCIATES LTD, RYE LANE MARKET, 48, RYE LANE, LONDON, SE15 5BY",534162,SKY ASSOCIATES LTD,0.8,RYE LANE MARKET,-0.069766087,51.47125225,48,,
23,125474,125474,Unit 39 Rye Lane Market,48,Rye Lane,London,Aunty sue varieties store,Retailers - other,4613,0,,542874,0,,51.471164,182564,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069782,SE15 5BY,15/03/2013,fhrs_5_en-GB,5,,FHRS,0,"Aunty sue varieties store, Unit 39 Rye Lane Market, 48 Rye Lane, London, SE15 5BY",LONDON,APPROVED,GOOD,RYE LANE,176465,10000819121,2,SE15 5BY,"SKY ASSOCIATES LTD, RYE LANE MARKET, 48, RYE LANE, LONDON, SE15 5BY",534162,SKY ASSOCIATES LTD,0.8,RYE LANE MARKET,-0.069766087,51.47125225,48,,
24,125475,125475,,63,Avondale Rise,London,Avondale mini market,Retailers - other,4613,10,,363930,10,,51.465307,179059,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07622,SE15 4AJ,29/11/2011,fhrs_3_en-GB,3,,FHRS,10,"Avondale mini market, 63 Avondale Rise, London, SE15 4AJ",LONDON,APPROVED,EXACT,AVONDALE RISE,175779,2.00003E+11,1,SE15 4AJ,"AVONDALE MINI MARKET, 63, AVONDALE RISE, LONDON, SE15 4AJ",533655,AVONDALE MINI MARKET,1,,-0.077320471,51.46520743,63,,
25,125494,125494,,157,Queens Road,London,Bahar kebab,Takeaway/sandwich shop,7844,20,,363010,10,,51.473679,138834,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.057091,SE15 2ND,02/07/2014,fhrs_1_en-GB,1,,FHRS,10,"Bahar kebab, 157 Queens Road, London, SE15 2ND",LONDON,APPROVED,EXACT,QUEENS ROAD,176740.62,10090749818,1,SE15 2ND,"BAHAR KEBAB, 157, QUEENS ROAD, LONDON, SE15 2ND",535046.9,BAHAR KEBAB,1,,-0.056928167,51.47351875,157,,
26,125495,125495,,28,Nunhead Green,London,Bajan spice,Restaurant/Cafe/Canteen,1,10,,364943,10,,51.465307,61886,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.058224,SE15 3QF,20/11/2014,fhrs_3_en-GB,3,,FHRS,10,"Bajan spice, 28 Nunhead Green, London, SE15 3QF",LONDON,APPROVED,EXACT,NUNHEAD GREEN,175829,2.00003E+11,1,SE15 3QF,"BAJAN SPICE, 28, NUNHEAD GREEN, LONDON, SE15 3QF",534985,BAJAN SPICE,1,,-0.058166746,51.46534138,28,,
27,125498,125498,,143,Evelina Road,London,Bambuni,Restaurant/Cafe/Canteen,1,10,,363832,5,,51.466101,177458,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,17/09/2013,fhrs_4_en-GB,4,,FHRS,5,"Bambuni, 143 Evelina Road, London, SE15 3HB",LONDON,APPROVED,EXACT,EVELINA ROAD,175872,2.00003E+11,1,SE15 3HB,"BAMBUNI, 143, EVELINA ROAD, LONDON, SE15 3HB",535039,BAMBUNI,1,,-0.057373439,51.46571492,143,,
28,125502,125502,Unit 18,137-139,Rye Lane,London,Bangura african food,Retailers - other,4613,10,,564140,15,,51.469866,182988,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,29/05/2013,fhrs_2_en-GB,2,,FHRS,10,"Bangura african food, Unit 18, 137-139, Rye Lane, London, SE15 4ST",LONDON,APPROVED,GOOD,RYE LANE,176156,2.00003E+11,1,SE15 4RZ,"138, RYE LANE, LONDON, SE15 4RZ",534304,,0.8,,-0.067840182,51.4684418,138,,
29,125507,125507,Arch 213,,Blenheim Grove,London,Bar story,Restaurant/Cafe/Canteen,1,10,,665589,15,,51.469437,184008,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070302,SE15 4QL,14/04/2014,fhrs_2_en-GB,2,,FHRS,15,"Bar story, Arch 213, Blenheim Grove, London, SE15 4QL",LONDON,APPROVED,PARTIAL,BLENHEIM GROVE,176238,2.00003E+11,2,SE15 4QS,"ALL SAINTS VICARAGE, BLENHEIM GROVE, LONDON, SE15 4QS",534202,,0.7,ALL SAINTS VICARAGE,-0.069276653,51.46920286,,,
30,125513,125513,,03-May,Station Way,London,Barry's deli,Restaurant/Cafe/Canteen,1,10,,687793,10,,51.469985,184175,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069227,SE15 4RX,21/05/2014,fhrs_3_en-GB,3,,FHRS,10,"Barry's deli, 3-5 Station Way, London, SE15 4RX",LONDON,APPROVED,EXACT,STATION WAY,176324,2.00003E+11,1,SE15 4RX,"3-5, STATION WAY, LONDON, SE15 4RX",534204,,1,03-May,-0.06921525,51.46997522,,,
31,125514,125514,,82,Rye Lane,London,Barsat cash and carry,Retailers - other,4613,10,,588929,10,,51.470033,183301,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068865,SE15 4RY,14/04/2014,fhrs_3_en-GB,3,,FHRS,10,"Barsat cash and carry, 82 Rye Lane, London, SE15 4RY",LONDON,APPROVED,EXACT,RYE LANE,176313,2.00003E+11,1,SE15 4RY,"BARSAT CASH & CARRY, 82, RYE LANE, LONDON, SE15 4RY",534236,BARSAT CASH & CARRY,1,,-0.068758991,51.46986879,82,,
32,125529,125529,,56,Peckham High Street,London,Belgo club,Pub/bar/nightclub,7843,10,,364043,10,,51.473214,1986,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070891,SE15 5DP,02/09/2014,fhrs_2_en-GB,2,,FHRS,15,"Belgo club, 56 Peckham High Street, London, SE15 5DP",LONDON,APPROVED,GOOD,PECKHAM HILL STREET,177115,2.00003E+11,1,SE15 5JY,"56, PECKHAM HILL STREET, LONDON, SE15 5JY",534111,,0.9,,-0.070253427,51.47710549,56,,
33,125531,125531,Bellenden Junior And Infant Sc,,Reedham Street,London,Bellenden primary school,School/college/university,7845,5,,364450,5,,51.466666,3062,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070822,SE15 4PF,11/03/2014,fhrs_5_en-GB,5,,FHRS,5,"Bellenden primary school, Bellenden Junior And Infant Sc, Reedham Street, London, SE15 4PF",LONDON,APPROVED,GOOD,REEDHAM STREET,175990,2.00003E+11,1,SE15 4PF,"BELLENDEN JUNIOR & INFANT SCHOOL, REEDHAM STREET, LONDON, SE15 4PF",534111,BELLENDEN JUNIOR & INFANT SCHOOL,0.8,,-0.070680002,51.46699579,,,
34,125554,125554,,122,Rye Lane,London,Bims african food ltd,Retailers - other,4613,30,,702308,20,,51.46907,184448,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068229,SE15 4RZ,04/08/2014,fhrs_0_en-GB,0,,FHRS,20,"Bims african food ltd, 122 Rye Lane, London, SE15 4RZ",LONDON,APPROVED,GOOD,RYE LANE,176190,2.00003E+11,1,SE15 4RZ,"122, RYE LANE, LONDON, SE15 4RZ",534289,,0.9,,-0.068043096,51.4687509,122,,
35,125555,125555,,102,Rye Lane,London,Bims african store,Retailers - other,4613,20,,363130,15,,51.469024,1655,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,22/07/2014,fhrs_1_en-GB,1,,FHRS,15,"Bims african store, 102 Rye Lane, London, SE15 4RZ",LONDON,APPROVED,GOOD,RYE LANE,176244,2.00003E+11,1,SE15 4RZ,"BIMS AFRICAN FOOD STORE, 102, RYE LANE, LONDON, SE15 4RZ",534264,BIMS AFRICAN FOOD STORE,0.9,,-0.068382303,51.46924209,102,,
36,125556,125556,,149,Peckham High Street,London,Binder off licence,Retailers - other,4613,,,364086,,,51.474167,2204,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,15/08/2012,fhrs_exempt_en-GB,Exempt,,FHRS,,"Binder off licence, 149 Peckham High Street, London, SE15 5SL",LONDON,APPROVED,GOOD,PECKHAM HIGH STREET,176794,2.00003E+11,1,SE15 5SL,"BINDER LONDON LTD, 149, PECKHAM HIGH STREET, LONDON, SE15 5SL",534382,BINDER LONDON LTD,0.8,,-0.066475523,51.47415662,149,,
37,125563,125563,,4,Atwell Road,London,Bit by bit,Retailers - other,4613,10,,364710,5,,51.46823,44076,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066954,SE15 4TW,03/09/2014,fhrs_4_en-GB,4,,FHRS,5,"Bit by bit, 4 Atwell Road, London, SE15 4TW",LONDON,APPROVED,GOOD,MARSDEN ROAD,175611,10000817605,2,SE15 4EE,"4, MARSDEN ROAD, LONDON, SE15 4EE",533818,,0.9,,-0.075038914,51.46365922,4,,
38,125566,125566,,86,Bellenden Road,London,Black elderly group southwark (b e,Other catering premises,7841,10,,364060,10,,51.470367,2025,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.073272,SE15 4RQ,24/07/2014,fhrs_3_en-GB,3,,FHRS,10,"Black elderly group southwark (b e, 86 Bellenden Road, London, SE15 4RQ",LONDON,APPROVED,GOOD,BELLENDEN ROAD,176322,2.00003E+11,1,SE15 4RQ,"BLACK ELDERLY GROUP SOUTHWARK, ELIM HOUSE, 86, BELLENDEN ROAD, LONDON, SE15 4RQ",533911,BLACK ELDERLY GROUP SOUTHWARK,0.9,ELIM HOUSE,-0.07343185,51.4700266,86,,
39,125591,125591,,20,Rye Lane,London,Boots co plc,Retailers - other,4613,5,,362835,0,,51.472256,1244,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070053,SE15 5BS,02/05/2007,fhrs_5_en-GB,5,,FHRS,0,"Boots co plc, 20 Rye Lane, London, SE15 5BS",LONDON,APPROVED,EXACT,RYE LANE,176582,2.00003E+11,1,SE15 5BS,"BOOTS THE CHEMISTS LTD, 20, RYE LANE, LONDON, SE15 5BS",534137,BOOTS THE CHEMISTS LTD,1,,-0.070081439,51.47230959,20,,
40,125608,125608,,27,Peckham High Street,London,Bottles off licence,Retailers - other,4613,,,364089,,,51.473716,2207,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07241,SE15 5EB,07/08/2013,fhrs_exempt_en-GB,Exempt,,FHRS,,"Bottles off licence, 27 Peckham High Street, London, SE15 5EB",LONDON,APPROVED,EXACT,PECKHAM HIGH STREET,176733,2.00003E+11,1,SE15 5EB,"BOTTLES OFF LICENCE, 27, PECKHAM HIGH STREET, LONDON, SE15 5EB",533972,BOTTLES OFF LICENCE,1,,-0.072398469,51.47370559,27,,
41,125613,125613,,95,Peckham Road,London,Bp  connect,Retailers - other,4613,0,,421370,0,,51.474559,25643,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.075586,SE15 5LJ,16/08/2012,fhrs_5_en-GB,5,,FHRS,0,"Bp  connect, 95 Peckham Road, London, SE15 5LJ",LONDON,APPROVED,GOOD,WICKHAM ROAD,175458,1.00022E+11,1,SE4 1NH,"95, WICKHAM ROAD, LONDON, SE4 1NH",536720,,0.9,,-0.033349001,51.4615914,95,,
42,125617,125617,,128,Brayards Road,London,Brayards chicken,Takeaway/sandwich shop,7844,10,,363726,10,,51.46946,176383,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.057544,SE15 2BU,17/01/2014,fhrs_2_en-GB,2,,FHRS,15,"Brayards chicken, 128 Brayards Road, London, SE15 2BU",LONDON,APPROVED,EXACT,BRAYARDS ROAD,176297,2.00003E+11,1,SE15 2BU,"BRAYARDS CHICKEN, 128, BRAYARDS ROAD, LONDON, SE15 2BU",535062,BRAYARDS CHICKEN,1,,-0.056880284,51.46952864,128,,
43,125626,125626,Oliver Goldsmith Primary Schoo,,Peckham Road,London,Breakfast club,Takeaway/sandwich shop,7844,5,,363440,0,,51.474304,174067,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079787,SE5 8UH,31/01/2013,fhrs_5_en-GB,5,,FHRS,0,"Breakfast club, Oliver Goldsmith Primary Schoo, Peckham Road, London, SE5 8UH",LONDON,APPROVED,GOOD,PECKHAM ROAD,176836,2.00003E+11,2,SE5 8UH,"OLIVER GOLDSMITH PRIMARY SCHOOL, 83, PECKHAM ROAD, LONDON, SE5 8UH",533584,OLIVER GOLDSMITH PRIMARY SCHOOL,0.8,,-0.077942787,51.47472285,83,,
44,125629,125629,Railway Arch 209,,Blenheim Grove,London,Brick brewery,Manufacturers/packers,7839,5,,617528,5,,51.469437,183147,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070302,SE15 4QL,24/01/2014,fhrs_5_en-GB,5,,FHRS,5,"Brick brewery, Railway Arch 209, Blenheim Grove, London, SE15 4QL",LONDON,APPROVED,GOOD,BLENHEIM GROVE,176257,2.00003E+11,1,SE15 4QL,"RAILWAY ARCH 209-210, BLENHEIM GROVE, LONDON, SE15 4QL",534094,,0.9,RAILWAY ARCH 209-210,-0.070823386,51.46939919,,,
