,Unnamed: 0,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
125444,125444,,125,Evelina Road,London,Arati newsagents,Retailers - other,4613,5.0,,364677,0.0,,51.466101,42017,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,2012-02-29,fhrs_5_en-GB,5,,FHRS,5.0
125446,125446,,54-56,Rye Lane,London,Argos distributors ltd,Retailers - other,4613,,,421365,,,51.471164,22042,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069782,SE15 5BY,2006-03-06,fhrs_exempt_en-GB,Exempt,,FHRS,
125457,125457,,161,Bellenden Road,London,Artusi,Restaurant/Cafe/Canteen,1,0.0,,654185,5.0,,51.466882,183638,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072468,SE15 4DH,2014-03-28,fhrs_5_en-GB,5,,FHRS,5.0
125459,125459,,174,Rye Lane,London,Asda supermarket,Retailers - supermarkets/hypermarkets,7840,5.0,,363899,5.0,,51.467853,178564,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.067518,SE15 4NB,2011-11-15,fhrs_5_en-GB,5,,FHRS,0.0
125462,125462,Forecourt After,125,Rye Lane,London,Asian take away,Other catering premises,7841,20.0,,467678,10.0,,51.469866,180437,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,2014-06-30,fhrs_1_en-GB,1,,FHRS,10.0
125467,125467,,98,Evelina Road,London,Astar fish bar,Takeaway/sandwich shop,7844,0.0,,364673,0.0,,51.466607,41997,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056326,SE15 3HL,2012-10-11,fhrs_5_en-GB,5,,FHRS,5.0
125473,125473,Units 37 And 38 Rye Lane Mark,48,Rye Lane,London,Auntie sue variety store,Retailers - other,4613,10.0,,449234,5.0,,51.471164,179436,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069782,SE15 5BY,2014-11-05,fhrs_3_en-GB,3,,FHRS,10.0
125474,125474,Unit 39 Rye Lane Market,48,Rye Lane,London,Aunty sue varieties store,Retailers - other,4613,0.0,,542874,0.0,,51.471164,182564,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069782,SE15 5BY,2013-03-15,fhrs_5_en-GB,5,,FHRS,0.0
125475,125475,,63,Avondale Rise,London,Avondale mini market,Retailers - other,4613,10.0,,363930,10.0,,51.465307,179059,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07622,SE15 4AJ,2011-11-29,fhrs_3_en-GB,3,,FHRS,10.0
125494,125494,,157,Queens Road,London,Bahar kebab,Takeaway/sandwich shop,7844,20.0,,363010,10.0,,51.473679,138834,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.057091,SE15 2ND,2014-07-02,fhrs_1_en-GB,1,,FHRS,10.0
125495,125495,,28,Nunhead Green,London,Bajan spice,Restaurant/Cafe/Canteen,1,10.0,,364943,10.0,,51.465307,61886,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.058224,SE15 3QF,2014-11-20,fhrs_3_en-GB,3,,FHRS,10.0
125498,125498,,143,Evelina Road,London,Bambuni,Restaurant/Cafe/Canteen,1,10.0,,363832,5.0,,51.466101,177458,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,2013-09-17,fhrs_4_en-GB,4,,FHRS,5.0
125502,125502,Unit 18,137-139,Rye Lane,London,Bangura african food,Retailers - other,4613,10.0,,564140,15.0,,51.469866,182988,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,2013-05-29,fhrs_2_en-GB,2,,FHRS,10.0
125507,125507,Arch 213,,Blenheim Grove,London,Bar story,Restaurant/Cafe/Canteen,1,10.0,,665589,15.0,,51.469437,184008,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070302,SE15 4QL,2014-04-14,fhrs_2_en-GB,2,,FHRS,15.0
125513,125513,,3-5,Station Way,London,Barry's deli,Restaurant/Cafe/Canteen,1,10.0,,687793,10.0,,51.469985,184175,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069227,SE15 4RX,2014-05-21,fhrs_3_en-GB,3,,FHRS,10.0
125514,125514,,82,Rye Lane,London,Barsat cash and carry,Retailers - other,4613,10.0,,588929,10.0,,51.470033,183301,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068865,SE15 4RY,2014-04-14,fhrs_3_en-GB,3,,FHRS,10.0
125529,125529,,56,Peckham High Street,London,Belgo club,Pub/bar/nightclub,7843,10.0,,364043,10.0,,51.473214,1986,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070891,SE15 5DP,2014-09-02,fhrs_2_en-GB,2,,FHRS,15.0
125531,125531,Bellenden Junior And Infant Sc,,Reedham Street,London,Bellenden primary school,School/college/university,7845,5.0,,364450,5.0,,51.466666,3062,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070822,SE15 4PF,2014-03-11,fhrs_5_en-GB,5,,FHRS,5.0
125554,125554,,122,Rye Lane,London,Bims african food ltd,Retailers - other,4613,30.0,,702308,20.0,,51.46907,184448,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068229,SE15 4RZ,2014-08-04,fhrs_0_en-GB,0,,FHRS,20.0
125555,125555,,102,Rye Lane,London,Bims african store,Retailers - other,4613,20.0,,363130,15.0,,51.469024,1655,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,2014-07-22,fhrs_1_en-GB,1,,FHRS,15.0
125556,125556,,149,Peckham High Street,London,Binder off licence,Retailers - other,4613,,,364086,,,51.474167,2204,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,2012-08-15,fhrs_exempt_en-GB,Exempt,,FHRS,
125563,125563,,4,Atwell Road,London,Bit by bit,Retailers - other,4613,10.0,,364710,5.0,,51.46823,44076,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066954,SE15 4TW,2014-09-03,fhrs_4_en-GB,4,,FHRS,5.0
125566,125566,,86,Bellenden Road,London,Black elderly group southwark (b e,Other catering premises,7841,10.0,,364060,10.0,,51.470367,2025,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.073272,SE15 4RQ,2014-07-24,fhrs_3_en-GB,3,,FHRS,10.0
125591,125591,,20,Rye Lane,London,Boots co plc,Retailers - other,4613,5.0,,362835,0.0,,51.472256,1244,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070053,SE15 5BS,2007-05-02,fhrs_5_en-GB,5,,FHRS,0.0
125608,125608,,27,Peckham High Street,London,Bottles off licence,Retailers - other,4613,,,364089,,,51.473716,2207,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07241,SE15 5EB,2013-08-07,fhrs_exempt_en-GB,Exempt,,FHRS,
125613,125613,,95,Peckham Road,London,Bp  connect,Retailers - other,4613,0.0,,421370,0.0,,51.474559,25643,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.075586,SE15 5LJ,2012-08-16,fhrs_5_en-GB,5,,FHRS,0.0
125617,125617,,128,Brayards Road,London,Brayards chicken,Takeaway/sandwich shop,7844,10.0,,363726,10.0,,51.46946,176383,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.057544,SE15 2BU,2014-01-17,fhrs_2_en-GB,2,,FHRS,15.0
125626,125626,Oliver Goldsmith Primary Schoo,,Peckham Road,London,Breakfast club,Takeaway/sandwich shop,7844,5.0,,363440,0.0,,51.474304,174067,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079787,SE5 8UH,2013-01-31,fhrs_5_en-GB,5,,FHRS,0.0
125629,125629,Railway Arch 209,,Blenheim Grove,London,Brick brewery,Manufacturers/packers,7839,5.0,,617528,5.0,,51.469437,183147,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070302,SE15 4QL,2014-01-24,fhrs_5_en-GB,5,,FHRS,5.0
125648,125648,,46-52,Peckham High Street,London,Burger king,Restaurant/Cafe/Canteen,1,5.0,,363172,5.0,,51.473214,170902,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070891,SE15 5DP,2014-05-01,fhrs_5_en-GB,5,,FHRS,5.0
125653,125653,,30,Rye Lane,London,Butt seafood ltd,Retailers - other,4613,10.0,,363544,10.0,,51.472256,175058,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070053,SE15 5BS,2013-08-01,fhrs_2_en-GB,2,,FHRS,15.0
125666,125666,Unit 17,137-139,Rye Lane,London,Cafe al ayaan,Restaurant/Cafe/Canteen,1,20.0,,692096,15.0,,51.469866,184453,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,2014-08-06,fhrs_1_en-GB,1,,FHRS,15.0
125672,125672,,42,Peckham Road,London,Cafe culture,Restaurant/Cafe/Canteen,1,20.0,,363630,10.0,,51.473666,175709,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079771,SE5 8PX,2012-03-28,fhrs_1_en-GB,1,,FHRS,0.0
125697,125697,,88,Rye Lane,London,Cafe spice,Restaurant/Cafe/Canteen,1,10.0,,364417,15.0,,51.469024,2970,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,2014-12-01,fhrs_2_en-GB,2,,FHRS,15.0
125699,125699,,44,Choumert Road,London,Cafe viva ltd,Restaurant/Cafe/Canteen,1,5.0,,692034,5.0,,51.468194,180393,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068554,SE15 4SE,2014-07-17,fhrs_5_en-GB,5,,FHRS,0.0
125700,125700,,131,Peckham High Street,London,Cafe world,Restaurant/Cafe/Canteen,1,10.0,,692063,5.0,,51.474167,184099,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,2014-06-27,fhrs_4_en-GB,4,,FHRS,5.0
125719,125719,,45-65,Peckham Road,London,Camberwell college of art & design - senior common room club,Restaurant/Cafe/Canteen,1,0.0,,362875,0.0,,51.474068,128844,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.080733,SE5 8UF,2012-11-23,fhrs_5_en-GB,5,,FHRS,0.0
125730,125730,,188,Rye Lane,London,Canavans peckham pool club,Pub/bar/nightclub,7843,,,449236,,,51.467136,180055,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066583,SE15 4NF,2013-10-04,fhrs_exempt_en-GB,Exempt,,FHRS,
125746,125746,Peckham Bus Garage,,Blackpool Road,London,Capital catering,Restaurant/Cafe/Canteen,1,0.0,,364509,0.0,,51.469799,3269,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.063951,SE15 3SU,2010-10-27,fhrs_5_en-GB,5,,FHRS,5.0
125756,125756,,151a,Rye Lane,London,Carnation supermarket,Retailers - other,4613,20.0,,364121,15.0,,51.468604,22933,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.067241,SE15 4TL,2014-06-20,fhrs_1_en-GB,1,,FHRS,15.0
125795,125795,Harris Primary Free School Pec,112,Peckham Road,London,Chartwells,School/college/university,7845,0.0,,621246,5.0,,51.473788,183289,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.074063,SE15 5DZ,2013-12-04,fhrs_5_en-GB,5,,FHRS,5.0
125796,125796,Hollydale Road Primary School,,Hollydale Road,London,Chartwells,School/college/university,7845,0.0,,364449,0.0,,51.467318,3056,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.052595,SE15 2AR,2014-06-11,fhrs_5_en-GB,5,,FHRS,5.0
125799,125799,St Thomas The Apostle College,,Hollydale Road,London,Chartwells,School/college/university,7845,5.0,,654192,0.0,,51.470753,183780,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056351,SE15 2EB,2014-02-27,fhrs_5_en-GB,5,,FHRS,5.0
125810,125810,,289,Rye Lane,London,Cheung's,Takeaway/sandwich shop,7844,20.0,,654204,10.0,,51.46589,183984,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.0657,SE15 4UA,2014-03-20,fhrs_1_en-GB,1,,FHRS,15.0
125811,125811,,117,Peckham High Street,London,Chick chicken,Takeaway/sandwich shop,7844,10.0,,729116,5.0,,51.474117,184018,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068362,SE15 5SE,2014-11-03,fhrs_4_en-GB,4,,FHRS,5.0
125822,125822,,30,Ivanhoe Road,London,China ho lok,Takeaway/sandwich shop,7844,10.0,,363216,10.0,,51.46495,171555,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079115,SE5 8DJ,2013-07-22,fhrs_3_en-GB,3,,FHRS,10.0
125830,125830,,211,Rye Lane,London,Christine's meat shop,Retailers - other,4613,5.0,,407128,5.0,,51.467685,180260,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066603,SE15 4TP,2012-05-11,fhrs_5_en-GB,5,,FHRS,5.0
125851,125851,,125,Bellenden Road,London,Cod fella,Takeaway/sandwich shop,7844,5.0,,363159,5.0,,51.467913,170798,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072281,SE15 4QY,2014-07-07,fhrs_4_en-GB,4,,FHRS,10.0
125874,125874,,64,Nunhead Lane,London,Convenience store,Retailers - other,4613,0.0,,542837,0.0,,51.464633,180828,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.059865,SE15 3QE,2013-03-15,fhrs_5_en-GB,5,,FHRS,0.0
125880,125880,The Clf Art Cafe,133,Copeland Road,London,Copeland park cafe,Mobile caterer,7846,10.0,,635620,5.0,,51.469911,183414,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.064162,SE15 3SN,2014-02-12,fhrs_3_en-GB,3,,FHRS,10.0
125881,125881,Copleston Centre,,Copleston Road,London,Copleston centre,Restaurant/Cafe/Canteen,1,10.0,,362779,0.0,,51.466197,1142,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.077306,SE15 4AN,2013-02-06,fhrs_4_en-GB,4,,FHRS,5.0
125910,125910,,129,Peckham High Street,London,Criterion  restaurant,Restaurant/Cafe/Canteen,1,10.0,,364364,5.0,,51.474167,2831,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,2014-12-11,fhrs_4_en-GB,4,,FHRS,5.0
125911,125911,,190,Bellenden Road,London,Crossroads cafe,Restaurant/Cafe/Canteen,1,10.0,,364286,10.0,,51.466859,2640,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.073218,SE15 4BW,2015-01-22,fhrs_3_en-GB,3,,FHRS,5.0
125912,125912,,93,Evelina Road,London,Crossways cafe,Restaurant/Cafe/Canteen,1,5.0,,364672,5.0,,51.466607,41993,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056326,SE15 3HL,2014-12-19,fhrs_4_en-GB,4,,FHRS,10.0
125919,125919,The Aylesham Centre,,Rye Lane,London,Cuisine africana,Retailers - other,4613,10.0,,363443,5.0,,51.472746,174098,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068693,SE15 5EW,2010-02-11,fhrs_4_en-GB,4,,FHRS,5.0
125926,125926,Unit 10,137-139,Rye Lane,London,Cynthia a's cakes sugarcraft,Retailers - other,4613,,,467696,,,51.469866,181304,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,2012-11-01,fhrs_exempt_en-GB,Exempt,,FHRS,
125939,125939,,97,Queens Road,London,Dans food,Takeaway/sandwich shop,7844,,,363970,,,51.473961,180178,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.059484,SE15 2EZ,2014-12-04,fhrs_4_en-GB,4,,FHRS,
125941,125941,,173,Peckham High Street,London,Daphanies taste of the caribbean,Restaurant/Cafe/Canteen,1,10.0,,364365,10.0,,51.474167,2833,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,2014-04-30,fhrs_3_en-GB,3,,FHRS,10.0
125949,125949,,8-10,Blenheim Grove,London,Ddk jerk centre,Restaurant/Cafe/Canteen,1,20.0,,363917,15.0,,51.469437,178868,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070302,SE15 4QL,2013-12-17,fhrs_0_en-GB,0,,FHRS,20.0
125959,125959,,178,Rye Lane,London,Delight cafe - uckg help centre,Restaurant/Cafe/Canteen,1,10.0,,714775,10.0,,51.467202,130571,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066768,SE15 4NF,2014-10-28,fhrs_4_en-GB,4,,FHRS,0.0
125962,125962,,9,Peckham High Street,London,Delta express pizza,Takeaway/sandwich shop,7844,10.0,,621250,10.0,,51.473716,183617,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07241,SE15 5EB,2013-12-10,fhrs_3_en-GB,3,,FHRS,10.0
125964,125964,,135,Peckham High Street,London,Dennis butchers,Retailers - other,4613,10.0,,362751,5.0,,51.474167,1104,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,2014-04-14,fhrs_4_en-GB,4,,FHRS,5.0
125968,125968,Copleston Centre,,Copleston Road,London,Destiny kids nursery,Hospitals/Childcare/Caring Premises,5,10.0,,407109,5.0,,51.466197,178255,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.077306,SE15 4AN,2014-01-08,fhrs_4_en-GB,4,,FHRS,5.0
125979,125979,,16,Peckham High Street,London,Dixie chicken,Takeaway/sandwich shop,7844,0.0,,449257,0.0,,51.473393,181276,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072453,SE15 5DT,2012-08-15,fhrs_5_en-GB,5,,FHRS,0.0
126028,126028,6-7 Whaddon House Dog Kennel H,,Albrighton Road,London,East dulwich community nursery,Hospitals/Childcare/Caring Premises,5,5.0,,363091,5.0,,51.464603,1515,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.080986,SE22 8AQ,2013-05-07,fhrs_5_en-GB,5,,FHRS,5.0
126029,126029,Albrighton Community Centre,37,Albrighton Road,London,East dulwich estate community project & tenants as,Other catering premises,7841,0.0,,542904,0.0,,51.464622,699,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.081619,SE22 8AH,2013-03-19,fhrs_5_en-GB,5,,FHRS,0.0
126099,126099,,141,Evelina Road,London,F c soper,Retailers - other,4613,10.0,,364680,0.0,,51.466101,42024,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,2012-10-10,fhrs_4_en-GB,4,,FHRS,10.0
126137,126137,,155,Bellenden Road,London,Flock and herd,Retailers - other,4613,0.0,,487193,0.0,,51.466882,181907,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072468,SE15 4DH,2012-11-23,fhrs_5_en-GB,5,,FHRS,0.0
126152,126152,Unit 4.1 Copeland Industrial P,133,Copeland Road,London,Forza win ltd,Restaurant/Cafe/Canteen,1,10.0,,702304,5.0,,51.469911,184350,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.064162,SE15 3SN,2014-08-20,fhrs_2_en-GB,2,,FHRS,15.0
126157,126157,,187,Rye Lane,London,Four quarters,Restaurant/Cafe/Canteen,1,10.0,,708633,10.0,,51.467685,184104,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066603,SE15 4TP,2014-10-02,fhrs_2_en-GB,2,,FHRS,15.0
126168,126168,Level 10 Peckham Rye Car Park,95A,Rye Lane,London,Frank's cafe and campari bar,Restaurant/Cafe/Canteen,1,10.0,,363280,10.0,,51.469866,172180,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,2014-09-17,fhrs_2_en-GB,2,,FHRS,15.0
126176,126176,,77,Rye Lane,London,Fresh fish & seafood,Retailers - other,4613,10.0,,702316,10.0,,51.471369,184545,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069169,SE15 5EX,2014-09-03,fhrs_3_en-GB,3,,FHRS,10.0
126177,126177,,161,Peckham Hill Street,London,Fresh fruit & vegetable for you,Retailers - other,4613,10.0,,363818,5.0,,51.474661,177181,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.06867,SE15 5JZ,2011-03-23,fhrs_3_en-GB,3,,FHRS,10.0
126179,126179,,119,Consort Road,London,Frog on the green,Restaurant/Cafe/Canteen,1,10.0,,362746,10.0,,51.467895,110271,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.061886,SE15 3RU,2012-11-07,fhrs_3_en-GB,3,,FHRS,10.0
126181,126181,,230,Rye Lane,London,Full garden,Takeaway/sandwich shop,7844,0.0,,364596,5.0,,51.466439,3490,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066325,SE15 4NL,2012-08-22,fhrs_5_en-GB,5,,FHRS,5.0
126183,126183,,40,Peckham Road,London,Fung sing,Takeaway/sandwich shop,7844,10.0,,467642,15.0,,51.473666,113946,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079771,SE5 8PX,2014-08-26,fhrs_2_en-GB,2,,FHRS,15.0
126196,126196,,38,Holly Grove,London,Ganapati south indian restaurant,Restaurant/Cafe/Canteen,1,0.0,,364415,5.0,,51.469729,2964,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.071657,SE15 5DF,2012-08-14,fhrs_5_en-GB,5,,FHRS,5.0
126197,126197,,4,Maxted Road,London,Ganapati takeaway kitchen,Takeaway/sandwich shop,7844,,,609251,,,51.465971,183287,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072262,SE15 4LL,2014-06-26,fhrs_5_en-GB,5,,FHRS,
