fhrs_rownum,fhrs_address,plot_address,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,plot_lat,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,plot_lng,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
125389,"Ali baba juice & matcha, 125B Rye Lane, SE15 4ST","Ali baba juice & matcha, 125B Rye Lane, SE15 4ST",,125B,Rye Lane,,Ali baba juice & matcha,Retailers - other,4613,10,,714782,15,,51.469866,183775,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,17/10/2014,fhrs_2_en-GB,2,,FHRS,10
125393,"Ali's greengrocery, 115 Rye Lane, London, SE15 4ST","Ali's greengrocery, 115 Rye Lane, London, SE15 4ST",,115,Rye Lane,London,Ali's greengrocery,Retailers - other,4613,10,,362618,5,,51.469866,103495,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,14/04/2014,fhrs_3_en-GB,3,,FHRS,10
125401,"Alpha off licence, 24 Peckham Rye, London, SE15 4JR","Alpha off licence, 24 Peckham Rye, London, SE15 4JR",,24,Peckham Rye,London,Alpha off licence,Retailers - other,4613,10,,364777,5,,51.465565,50839,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066722,SE15 4JR,29/02/2012,fhrs_4_en-GB,4,,FHRS,0
125411,"Amott road pre-school (day nursery kitchen), Baptist Church, Amott Road, London, SE15 4HU","Amott road pre-school (day nursery kitchen), Baptist Church, Amott Road, London, SE15 4HU",Baptist Church,,Amott Road,London,Amott road pre-school (day nursery kitchen),Hospitals/Childcare/Caring Premises,5,0,,363072,0,,51.463914,1456,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070247,SE15 4HU,11/12/2009,fhrs_5_en-GB,5,,FHRS,5
125419,"Anderson & co, 139 Bellenden Road, London, SE15 4DH","Anderson & co, 139 Bellenden Road, London, SE15 4DH",,139,Bellenden Road,London,Anderson & co,Restaurant/Cafe/Canteen,1,0,,363648,0,,51.466882,175816,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072468,SE15 4DH,28/08/2012,fhrs_5_en-GB,5,,FHRS,5
125437,"Ar cash & carry, 78 Rye Lane, London, SE15 4RY","Ar cash & carry, 78 Rye Lane, London, SE15 4RY",,78,Rye Lane,London,Ar cash & carry,Retailers - other,4613,0,,364001,0,,51.470033,1862,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068865,SE15 4RY,14/04/2014,fhrs_4_en-GB,4,,FHRS,10
125444,"Arati newsagents, 125 Evelina Road, London, SE15 3HB","Arati newsagents, 125 Evelina Road, London, SE15 3HB",,125,Evelina Road,London,Arati newsagents,Retailers - other,4613,5,,364677,0,,51.466101,42017,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,29/02/2012,fhrs_5_en-GB,5,,FHRS,5
125446,"Argos distributors ltd, 54-56 Rye Lane, London, SE15 5BY","Argos distributors ltd, 54-56 Rye Lane, London, SE15 5BY",,54-56,Rye Lane,London,Argos distributors ltd,Retailers - other,4613,,,421365,,,51.471164,22042,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069782,SE15 5BY,06/03/2006,fhrs_exempt_en-GB,Exempt,,FHRS,
125457,"Artusi, 161 Bellenden Road, London, SE15 4DH","Artusi, 161 Bellenden Road, London, SE15 4DH",,161,Bellenden Road,London,Artusi,Restaurant/Cafe/Canteen,1,0,,654185,5,,51.466882,183638,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072468,SE15 4DH,28/03/2014,fhrs_5_en-GB,5,,FHRS,5
125459,"Asda supermarket, 174 Rye Lane, London, SE15 4NB","Asda supermarket, 174 Rye Lane, London, SE15 4NB",,174,Rye Lane,London,Asda supermarket,Retailers - supermarkets/hypermarkets,7840,5,,363899,5,,51.467853,178564,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.067518,SE15 4NB,15/11/2011,fhrs_5_en-GB,5,,FHRS,0
125462,"Asian take away, Forecourt After, 125 Rye Lane, London, SE15 4ST","Asian take away, Forecourt After, 125 Rye Lane, London, SE15 4ST",Forecourt After,125,Rye Lane,London,Asian take away,Other catering premises,7841,20,,467678,10,,51.469866,180437,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,30/06/2014,fhrs_1_en-GB,1,,FHRS,10
125467,"Astar fish bar, 98 Evelina Road, London, SE15 3HL","Astar fish bar, 98 Evelina Road, London, SE15 3HL",,98,Evelina Road,London,Astar fish bar,Takeaway/sandwich shop,7844,0,,364673,0,,51.466607,41997,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056326,SE15 3HL,11/10/2012,fhrs_5_en-GB,5,,FHRS,5
125473,"Auntie sue variety store, Units 37 And 38 Rye Lane Mark, 48 Rye Lane, London, SE15 5BY","Auntie sue variety store, Units 37 And 38 Rye Lane Mark, 48 Rye Lane, London, SE15 5BY",Units 37 And 38 Rye Lane Mark,48,Rye Lane,London,Auntie sue variety store,Retailers - other,4613,10,,449234,5,,51.471164,179436,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069782,SE15 5BY,05/11/2014,fhrs_3_en-GB,3,,FHRS,10
125474,"Aunty sue varieties store, Unit 39 Rye Lane Market, 48 Rye Lane, London, SE15 5BY","Aunty sue varieties store, Unit 39 Rye Lane Market, 48 Rye Lane, London, SE15 5BY",Unit 39 Rye Lane Market,48,Rye Lane,London,Aunty sue varieties store,Retailers - other,4613,0,,542874,0,,51.471164,182564,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069782,SE15 5BY,15/03/2013,fhrs_5_en-GB,5,,FHRS,0
125475,"Avondale mini market, 63 Avondale Rise, London, SE15 4AJ","Avondale mini market, 63 Avondale Rise, London, SE15 4AJ",,63,Avondale Rise,London,Avondale mini market,Retailers - other,4613,10,,363930,10,,51.465307,179059,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07622,SE15 4AJ,29/11/2011,fhrs_3_en-GB,3,,FHRS,10
125494,"Bahar kebab, 157 Queens Road, London, SE15 2ND","Bahar kebab, 157 Queens Road, London, SE15 2ND",,157,Queens Road,London,Bahar kebab,Takeaway/sandwich shop,7844,20,,363010,10,,51.473679,138834,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.057091,SE15 2ND,02/07/2014,fhrs_1_en-GB,1,,FHRS,10
125495,"Bajan spice, 28 Nunhead Green, London, SE15 3QF","Bajan spice, 28 Nunhead Green, London, SE15 3QF",,28,Nunhead Green,London,Bajan spice,Restaurant/Cafe/Canteen,1,10,,364943,10,,51.465307,61886,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.058224,SE15 3QF,20/11/2014,fhrs_3_en-GB,3,,FHRS,10
125498,"Bambuni, 143 Evelina Road, London, SE15 3HB","Bambuni, 143 Evelina Road, London, SE15 3HB",,143,Evelina Road,London,Bambuni,Restaurant/Cafe/Canteen,1,10,,363832,5,,51.466101,177458,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056707,SE15 3HB,17/09/2013,fhrs_4_en-GB,4,,FHRS,5
125502,"Bangura african food, Unit 18, 137-139 Rye Lane, London, SE15 4ST","Bangura african food, Unit 18, 137-139 Rye Lane, London, SE15 4ST",Unit 18,137-139,Rye Lane,London,Bangura african food,Retailers - other,4613,10,,564140,15,,51.469866,182988,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,29/05/2013,fhrs_2_en-GB,2,,FHRS,10
125507,"Bar story, Arch 213, Blenheim Grove, London, SE15 4QL","Bar story, Arch 213, Blenheim Grove, London, SE15 4QL",Arch 213,,Blenheim Grove,London,Bar story,Restaurant/Cafe/Canteen,1,10,,665589,15,,51.469437,184008,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070302,SE15 4QL,14/04/2014,fhrs_2_en-GB,2,,FHRS,15
125513,"Barry's deli, 3-5 Station Way, London, SE15 4RX","Barry's deli, 3-5 Station Way, London, SE15 4RX",,03-May,Station Way,London,Barry's deli,Restaurant/Cafe/Canteen,1,10,,687793,10,,51.469985,184175,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.069227,SE15 4RX,21/05/2014,fhrs_3_en-GB,3,,FHRS,10
125514,"Barsat cash and carry, 82 Rye Lane, London, SE15 4RY","Barsat cash and carry, 82 Rye Lane, London, SE15 4RY",,82,Rye Lane,London,Barsat cash and carry,Retailers - other,4613,10,,588929,10,,51.470033,183301,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068865,SE15 4RY,14/04/2014,fhrs_3_en-GB,3,,FHRS,10
125529,"Belgo club, 56 Peckham High Street, London, SE15 5DP","Belgo club, 56 Peckham High Street, London, SE15 5DP",,56,Peckham High Street,London,Belgo club,Pub/bar/nightclub,7843,10,,364043,10,,51.473214,1986,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070891,SE15 5DP,02/09/2014,fhrs_2_en-GB,2,,FHRS,15
125531,"Bellenden primary school, Bellenden Junior And Infant Sc, Reedham Street, London, SE15 4PF","Bellenden primary school, Bellenden Junior And Infant Sc, Reedham Street, London, SE15 4PF",Bellenden Junior And Infant Sc,,Reedham Street,London,Bellenden primary school,School/college/university,7845,5,,364450,5,,51.466666,3062,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070822,SE15 4PF,11/03/2014,fhrs_5_en-GB,5,,FHRS,5
125554,"Bims african food ltd, 122 Rye Lane, London, SE15 4RZ","Bims african food ltd, 122 Rye Lane, London, SE15 4RZ",,122,Rye Lane,London,Bims african food ltd,Retailers - other,4613,30,,702308,20,,51.46907,184448,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068229,SE15 4RZ,04/08/2014,fhrs_0_en-GB,0,,FHRS,20
125555,"Bims african store, 102 Rye Lane, London, SE15 4RZ","Bims african store, 102 Rye Lane, London, SE15 4RZ",,102,Rye Lane,London,Bims african store,Retailers - other,4613,20,,363130,15,,51.469024,1655,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,22/07/2014,fhrs_1_en-GB,1,,FHRS,15
125556,"Binder off licence, 149 Peckham High Street, London, SE15 5SL","Binder off licence, 149 Peckham High Street, London, SE15 5SL",,149,Peckham High Street,London,Binder off licence,Retailers - other,4613,,,364086,,,51.474167,2204,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,15/08/2012,fhrs_exempt_en-GB,Exempt,,FHRS,
125563,"Bit by bit, 4 Atwell Road, London, SE15 4TW","Bit by bit, 4 Atwell Road, London, SE15 4TW",,4,Atwell Road,London,Bit by bit,Retailers - other,4613,10,,364710,5,,51.46823,44076,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066954,SE15 4TW,03/09/2014,fhrs_4_en-GB,4,,FHRS,5
125566,"Black elderly group southwark (b e, 86 Bellenden Road, London, SE15 4RQ","Black elderly group southwark (b e, 86 Bellenden Road, London, SE15 4RQ",,86,Bellenden Road,London,Black elderly group southwark (b e,Other catering premises,7841,10,,364060,10,,51.470367,2025,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.073272,SE15 4RQ,24/07/2014,fhrs_3_en-GB,3,,FHRS,10
125591,"Boots co plc, 20 Rye Lane, London, SE15 5BS","Boots co plc, 20 Rye Lane, London, SE15 5BS",,20,Rye Lane,London,Boots co plc,Retailers - other,4613,5,,362835,0,,51.472256,1244,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070053,SE15 5BS,02/05/2007,fhrs_5_en-GB,5,,FHRS,0
125608,"Bottles off licence, 27 Peckham High Street, London, SE15 5EB","Bottles off licence, 27 Peckham High Street, London, SE15 5EB",,27,Peckham High Street,London,Bottles off licence,Retailers - other,4613,,,364089,,,51.473716,2207,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.07241,SE15 5EB,07/08/2013,fhrs_exempt_en-GB,Exempt,,FHRS,
125613,"Bp  connect, 95 Peckham Road, London, SE15 5LJ","Bp  connect, 95 Peckham Road, London, SE15 5LJ",,95,Peckham Road,London,Bp  connect,Retailers - other,4613,0,,421370,0,,51.474559,25643,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.075586,SE15 5LJ,16/08/2012,fhrs_5_en-GB,5,,FHRS,0
125617,"Brayards chicken, 128 Brayards Road, London, SE15 2BU","Brayards chicken, 128 Brayards Road, London, SE15 2BU",,128,Brayards Road,London,Brayards chicken,Takeaway/sandwich shop,7844,10,,363726,10,,51.46946,176383,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.057544,SE15 2BU,17/01/2014,fhrs_2_en-GB,2,,FHRS,15
125626,"Breakfast club, Oliver Goldsmith Primary Schoo, Peckham Road, London, SE5 8UH","Breakfast club, Oliver Goldsmith Primary Schoo, Peckham Road, London, SE5 8UH",Oliver Goldsmith Primary Schoo,,Peckham Road,London,Breakfast club,Takeaway/sandwich shop,7844,5,,363440,0,,51.474304,174067,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079787,SE5 8UH,31/01/2013,fhrs_5_en-GB,5,,FHRS,0
125629,"Brick brewery, Railway Arch 209, Blenheim Grove, London, SE15 4QL","Brick brewery, Railway Arch 209, Blenheim Grove, London, SE15 4QL",Railway Arch 209,,Blenheim Grove,London,Brick brewery,Manufacturers/packers,7839,5,,617528,5,,51.469437,183147,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070302,SE15 4QL,24/01/2014,fhrs_5_en-GB,5,,FHRS,5
125648,"Burger king, 46-52 Peckham High Street, London, SE15 5DP","Burger king, 46-52 Peckham High Street, London, SE15 5DP",,46-52,Peckham High Street,London,Burger king,Restaurant/Cafe/Canteen,1,5,,363172,5,,51.473214,170902,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070891,SE15 5DP,01/05/2014,fhrs_5_en-GB,5,,FHRS,5
125653,"Butt seafood ltd, 30 Rye Lane, London, SE15 5BS","Butt seafood ltd, 30 Rye Lane, London, SE15 5BS",,30,Rye Lane,London,Butt seafood ltd,Retailers - other,4613,10,,363544,10,,51.472256,175058,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.070053,SE15 5BS,01/08/2013,fhrs_2_en-GB,2,,FHRS,15
125666,"Cafe al ayaan, Unit 17, 137-139 Rye Lane, London, SE15 4ST","Cafe al ayaan, Unit 17, 137-139 Rye Lane, London, SE15 4ST",Unit 17,137-139,Rye Lane,London,Cafe al ayaan,Restaurant/Cafe/Canteen,1,20,,692096,15,,51.469866,184453,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068008,SE15 4ST,06/08/2014,fhrs_1_en-GB,1,,FHRS,15
125672,"Cafe culture, 42 Peckham Road, London, SE5 8PX","Cafe culture, 42 Peckham Road, London, SE5 8PX",,42,Peckham Road,London,Cafe culture,Restaurant/Cafe/Canteen,1,20,,363630,10,,51.473666,175709,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079771,SE5 8PX,28/03/2012,fhrs_1_en-GB,1,,FHRS,0
125697,"Cafe spice, 88 Rye Lane, London, SE15 4RZ","Cafe spice, 88 Rye Lane, London, SE15 4RZ",,88,Rye Lane,London,Cafe spice,Restaurant/Cafe/Canteen,1,10,,364417,15,,51.469024,2970,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068174,SE15 4RZ,01/12/2014,fhrs_2_en-GB,2,,FHRS,15
125699,"Cafe viva ltd, 44 Choumert Road, London, SE15 4SE","Cafe viva ltd, 44 Choumert Road, London, SE15 4SE",,44,Choumert Road,London,Cafe viva ltd,Restaurant/Cafe/Canteen,1,5,,692034,5,,51.468194,180393,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068554,SE15 4SE,17/07/2014,fhrs_5_en-GB,5,,FHRS,0
125700,"Cafe world, 131 Peckham High Street, London, SE15 5SL","Cafe world, 131 Peckham High Street, London, SE15 5SL",,131,Peckham High Street,London,Cafe world,Restaurant/Cafe/Canteen,1,10,,692063,5,,51.474167,184099,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,27/06/2014,fhrs_4_en-GB,4,,FHRS,5
125719,"Camberwell college of art & design - senior common room club, 45-65 Peckham Road, London, SE5 8UF","Camberwell college of art & design - senior common room club, 45-65 Peckham Road, London, SE5 8UF",,45-65,Peckham Road,London,Camberwell college of art & design - senior common room club,Restaurant/Cafe/Canteen,1,0,,362875,0,,51.474068,128844,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.080733,SE5 8UF,23/11/2012,fhrs_5_en-GB,5,,FHRS,0
125730,"Canavans peckham pool club, 188 Rye Lane, London, SE15 4NF","Canavans peckham pool club, 188 Rye Lane, London, SE15 4NF",,188,Rye Lane,London,Canavans peckham pool club,Pub/bar/nightclub,7843,,,449236,,,51.467136,180055,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066583,SE15 4NF,04/10/2013,fhrs_exempt_en-GB,Exempt,,FHRS,
125746,"Capital catering, Peckham Bus Garage, Blackpool Road, London, SE15 3SU","Capital catering, Peckham Bus Garage, Blackpool Road, London, SE15 3SU",Peckham Bus Garage,,Blackpool Road,London,Capital catering,Restaurant/Cafe/Canteen,1,0,,364509,0,,51.469799,3269,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.063951,SE15 3SU,27/10/2010,fhrs_5_en-GB,5,,FHRS,5
125756,"Carnation supermarket, 151a Rye Lane, London, SE15 4TL","Carnation supermarket, 151a Rye Lane, London, SE15 4TL",,151a,Rye Lane,London,Carnation supermarket,Retailers - other,4613,20,,364121,15,,51.468604,22933,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.067241,SE15 4TL,20/06/2014,fhrs_1_en-GB,1,,FHRS,15
125795,"Chartwells, Harris Primary Free School Pec, 112 Peckham Road, London, SE15 5DZ","Chartwells, Harris Primary Free School Pec, 112 Peckham Road, London, SE15 5DZ",Harris Primary Free School Pec,112,Peckham Road,London,Chartwells,School/college/university,7845,0,,621246,5,,51.473788,183289,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.074063,SE15 5DZ,04/12/2013,fhrs_5_en-GB,5,,FHRS,5
125796,"Chartwells, Hollydale Road Primary School, Hollydale Road, London, SE15 2AR","Chartwells, Hollydale Road Primary School, Hollydale Road, London, SE15 2AR",Hollydale Road Primary School,,Hollydale Road,London,Chartwells,School/college/university,7845,0,,364449,0,,51.467318,3056,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.052595,SE15 2AR,11/06/2014,fhrs_5_en-GB,5,,FHRS,5
125799,"Chartwells, St Thomas The Apostle College, Hollydale Road, London, SE15 2EB","Chartwells, St Thomas The Apostle College, Hollydale Road, London, SE15 2EB",St Thomas The Apostle College,,Hollydale Road,London,Chartwells,School/college/university,7845,5,,654192,0,,51.470753,183780,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.056351,SE15 2EB,27/02/2014,fhrs_5_en-GB,5,,FHRS,5
125810,"Cheung's, 289 Rye Lane, London, SE15 4UA","Cheung's, 289 Rye Lane, London, SE15 4UA",,289,Rye Lane,London,Cheung's,Takeaway/sandwich shop,7844,20,,654204,10,,51.46589,183984,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.0657,SE15 4UA,20/03/2014,fhrs_1_en-GB,1,,FHRS,15
125811,"Chick chicken, 117 Peckham High Street, London, SE15 5SE","Chick chicken, 117 Peckham High Street, London, SE15 5SE",,117,Peckham High Street,London,Chick chicken,Takeaway/sandwich shop,7844,10,,729116,5,,51.474117,184018,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.068362,SE15 5SE,03/11/2014,fhrs_4_en-GB,4,,FHRS,5
125822,"China ho lok, 30 Ivanhoe Road, London, SE5 8DJ","China ho lok, 30 Ivanhoe Road, London, SE5 8DJ",,30,Ivanhoe Road,London,China ho lok,Takeaway/sandwich shop,7844,10,,363216,10,,51.46495,171555,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.079115,SE5 8DJ,22/07/2013,fhrs_3_en-GB,3,,FHRS,10
125830,"Christine's meat shop, 211 Rye Lane, London, SE15 4TP","Christine's meat shop, 211 Rye Lane, London, SE15 4TP",,211,Rye Lane,London,Christine's meat shop,Retailers - other,4613,5,,407128,5,,51.467685,180260,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066603,SE15 4TP,11/05/2012,fhrs_5_en-GB,5,,FHRS,5
125851,"Cod fella, 125 Bellenden Road, London, SE15 4QY","Cod fella, 125 Bellenden Road, London, SE15 4QY",,125,Bellenden Road,London,Cod fella,Takeaway/sandwich shop,7844,5,,363159,5,,51.467913,170798,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.072281,SE15 4QY,07/07/2014,fhrs_4_en-GB,4,,FHRS,10
125874,"Convenience store, 64 Nunhead Lane, London, SE15 3QE","Convenience store, 64 Nunhead Lane, London, SE15 3QE",,64,Nunhead Lane,London,Convenience store,Retailers - other,4613,0,,542837,0,,51.464633,180828,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.059865,SE15 3QE,15/03/2013,fhrs_5_en-GB,5,,FHRS,0
125880,"Copeland park cafe, The Clf Art Cafe, 133 Copeland Road, London, SE15 3SN","Copeland park cafe, The Clf Art Cafe, 133 Copeland Road, London, SE15 3SN",The Clf Art Cafe,133,Copeland Road,London,Copeland park cafe,Mobile caterer,7846,10,,635620,5,,51.469911,183414,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.064162,SE15 3SN,12/02/2014,fhrs_3_en-GB,3,,FHRS,10
125881,"Copleston centre, Copleston Centre, Copleston Road, London, SE15 4AN","Copleston centre, Copleston Centre, Copleston Road, London, SE15 4AN",Copleston Centre,,Copleston Road,London,Copleston centre,Restaurant/Cafe/Canteen,1,10,,362779,0,,51.466197,1142,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.077306,SE15 4AN,06/02/2013,fhrs_4_en-GB,4,,FHRS,5
125910,"Criterion  restaurant, 129 Peckham High Street, London, SE15 5SL","Criterion  restaurant, 129 Peckham High Street, London, SE15 5SL",,129,Peckham High Street,London,Criterion  restaurant,Restaurant/Cafe/Canteen,1,10,,364364,5,,51.474167,2831,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,-0.066488,SE15 5SL,11/12/2014,fhrs_4_en-GB,4,,FHRS,5
